ID,school_name,borough,building_code,average_math,average_reading,average_writing,percent_tested,name_key,lat,long,overall_score,performance_level
225,Bayside High School,Queens,Q405,523,479,485,76.7,bayside high school,40.771755,-73.780296,496,High Performance
226,Benjamin N. Cardozo High School,Queens,Q415,563,505,510,75.6,benjamin n. cardozo high school,40.752333,-73.75599,526,High Performance
227,Francis Lewis High School,Queens,Q430,562,483,485,80.7,francis lewis high school,40.740724,-73.79283,510,High Performance
228,Robert F. Kennedy Community High School,Queens,Q707,460,426,423,67.3,robert f. kennedy community high school,40.725603,-73.810697,436,High Performance
229,John Bowne High School,Queens,Q425,467,422,425,62.1,john bowne high school,40.738139,-73.824944,438,High Performance
230,Townsend Harris High School,Queens,Q515,680,640,661,97.1,townsend harris high school,40.73439,-73.821392,660,High Performance
231,High School for Arts and Business,Queens,Q456,413,405,393,76.7,high school for arts and business,40.737427,-73.853178,404,Medium Performance
232,Civic Leadership Academy,Queens,Q744,435,424,418,68.9,civic leadership academy,40.74373,-73.870642,426,Medium Performance
233,Maspeth High School,Queens,Q585,476,471,480,90.0,maspeth high school,40.729939,-73.887482,476,High Performance
234,Pan American International High School,Queens,Q744,340,320,318,31.9,pan american international high school,40.74373,-73.870642,326,Low Performance
235,Newtown High School,Queens,Q455,434,401,389,39.1,newtown high school,40.741122,-73.874721,408,Medium Performance
236,Forest Hills High School,Queens,Q440,517,485,483,72.8,forest hills high school,40.729402,-73.845637,495,High Performance
237,Queens Metropolitan High School,Queens,Q686,460,448,449,76.4,queens metropolitan high school,40.711367,-73.856698,452,High Performance
238,Grover Cleveland High School,Queens,Q485,452,422,416,38.9,grover cleveland high school,40.711033,-73.908814,430,Medium Performance
239,Excelsior Preparatory High School,Queens,Q420,384,407,400,70.1,excelsior preparatory high school,40.668235,-73.756839,397,Medium Performance
240,Queens Preparatory Academy,Queens,Q420,423,422,403,83.7,queens preparatory academy,40.668235,-73.756839,416,Medium Performance
241,John Adams High School,Queens,Q480,418,401,395,38.4,john adams high school,40.679639,-73.837298,405,Medium Performance
242,Richmond Hill High School,Queens,Q475,413,406,399,37.9,richmond hill high school,40.695888,-73.833681,406,Medium Performance
243,Cambria Heights Academy,Queens,Q799,418,424,411,58.5,cambria heights academy,40.711849,-73.771195,418,Medium Performance
244,Martin Van Buren High School,Queens,Q435,397,396,391,40.0,martin van buren high school,40.733066,-73.738756,395,Medium Performance
245,Queens Gateway to Health Sciences Secondary School,Queens,Q695,524,511,514,92.5,queens gateway to health sciences secondary school,40.718831,-73.806499,516,High Performance
246,Jamaica Gateway to the Sciences,Queens,Q470,487,460,463,78.6,jamaica gateway to the sciences,40.713218,-73.797237,470,High Performance
247,High School for Community Leadership,Queens,Q470,415,392,386,72.3,high school for community leadership,40.713218,-73.797237,398,Medium Performance
248,York Early College Academy,Queens,Q008,496,481,473,92.9,york early college academy,40.69719,-73.787192,483,High Performance
249,High School for Law Enforcement and Public Safety,Queens,Q690,410,431,409,56.6,high school for law enforcement and public safety,40.686208,-73.784144,417,Medium Performance
250,August Martin High School,Queens,Q400,366,372,364,26.3,august martin high school,40.675633,-73.783342,367,Low Performance
251,Frederick Douglass Academy VI High School,Queens,Q465,410,418,407,30.1,frederick douglass academy vi high school,40.60201,-73.762795,412,Medium Performance
252,Channel View School for Research,Queens,Q410,427,430,423,76.6,channel view school for research,40.586066,-73.822624,427,Medium Performance
253,Rockaway Collegiate High School,Queens,Q410,399,403,405,46.5,rockaway collegiate high school,40.586066,-73.822624,402,Medium Performance
254,Scholars' Academy,Queens,Q180,588,560,568,99.2,scholars' academy,40.584109,-73.825711,572,High Performance
