ID,school_name,borough,building_code,average_math,average_reading,average_writing,percent_tested,name_key,lat,long,overall_score,performance_level
53,Frederick Douglass Academy,Manhattan,M010,463,452,450,65.1,frederick douglass academy,40.824319,-73.93712,455,High Performance
54,High School for Media and Communications,Manhattan,M465,378,381,383,33.0,high school for media and communications,40.855954,-73.927051,381,Low Performance
55,High School for Law and Public Service,Manhattan,M465,401,394,381,44.1,high school for law and public service,40.855954,-73.927051,392,Low Performance
56,City College Academy of the Arts,Manhattan,M218,495,445,450,95.3,city college academy of the arts,40.86079,-73.930672,463,High Performance
57,High School for Health Careers and Sciences,Manhattan,M465,374,385,389,56.2,high school for health careers and sciences,40.855954,-73.927051,383,Low Performance
58,Manhattan International High School,Manhattan,M480,438,358,382,58.6,manhattan international high school,40.765359,-73.960059,393,Medium Performance
59,Talent Unlimited High School,Manhattan,M480,485,498,496,89.3,talent unlimited high school,40.765359,-73.960059,493,High Performance
60,Vanguard High School,Manhattan,M480,431,409,396,63.8,vanguard high school,40.765359,-73.960059,412,Medium Performance
61,Life Sciences Secondary School,Manhattan,M645,435,440,425,63.0,life sciences secondary school,40.783625,-73.945637,433,High Performance
62,Stuyvesant High School,Manhattan,M477,754,697,693,97.4,stuyvesant high school,40.71759,-74.013748,715,High Performance
63,Curtis High School,Staten Island,R450,453,458,444,64.2,curtis high school,40.644735,-74.081222,452,High Performance
64,Port Richmond High School,Staten Island,R445,432,427,425,44.6,port richmond high school,40.634573,-74.141818,428,Medium Performance
65,Staten Island Technical High School,Staten Island,R440,711,660,670,99.7,staten island technical high school,40.567873,-74.115373,680,High Performance
66,New Dorp High School,Staten Island,R435,454,446,444,63.7,new dorp high school,40.569393,-74.107737,448,High Performance
67,Susan E. Wagner High School,Staten Island,R460,496,490,487,66.3,susan e. wagner high school,40.596803,-74.124227,491,High Performance
68,Gaynor McCown Expeditionary Learning School,Staten Island,R043,442,458,454,55.8,gaynor mccown expeditionary learning school,40.581315,-74.158589,451,High Performance
69,CSI High School for International Studies,Staten Island,R043,477,468,464,83.5,csi high school for international studies,40.581315,-74.158589,470,High Performance
70,New Explorers High School,Bronx,X790,390,398,376,30.4,new explorers high school,40.82231,-73.923829,388,Low Performance
71,Urban Assembly School for Careers in Sports,Bronx,X790,402,405,395,55.5,urban assembly school for careers in sports,40.82231,-73.923829,401,Medium Performance
72,Bronx Leadership Academy II High School,Bronx,X790,384,355,361,61.3,bronx leadership academy ii high school,40.82231,-73.923829,367,Low Performance
73,Health Opportunities High School,Bronx,X884,374,386,382,57.9,health opportunities high school,40.815938,-73.930386,381,Low Performance
74,Community School for Social Justice,Bronx,X884,380,382,362,38.4,community school for social justice,40.815938,-73.930386,375,Low Performance
75,Academy for Language and Technology,Bronx,X082,371,334,348,78.9,academy for language and technology,40.849623,-73.91607,351,Low Performance
76,International Community High School,Bronx,X139,345,338,312,58.2,international community high school,40.81004,-73.917792,332,Low Performance
77,Hostos-Lincoln Academy of Science,Bronx,X162,463,451,435,80.0,hostos-lincoln academy of science,40.815498,-73.91224,450,High Performance
78,University Heights Secondary School,Bronx,X470,420,446,424,87.8,university heights secondary school,40.81825,-73.91103,430,Medium Performance
79,Mott Haven Village Preparatory High School,Bronx,X470,377,373,369,44.9,mott haven village preparatory high school,40.81825,-73.91103,373,Low Performance
80,High School for Violin and Dance,Bronx,X400,363,401,396,31.3,high school for violin and dance,40.827642,-73.904473,387,Low Performance
81,Bronx Career and College Preparatory High School,Bronx,X158,370,379,381,40.7,bronx career and college preparatory high school,40.827743,-73.900105,377,Low Performance
82,Bronx Center for Science and Mathematics,Bronx,X002,513,468,485,73.9,bronx center for science and mathematics,40.833665,-73.902499,489,High Performance
83,Bronx Latin,Bronx,X158,394,381,363,81.0,bronx latin,40.827743,-73.900105,379,Low Performance
84,School for Excellence,Bronx,X400,377,385,383,38.4,school for excellence,40.827642,-73.904473,382,Low Performance
85,Morris Academy for Collaborative Studies,Bronx,X400,407,389,386,44.8,morris academy for collaborative studies,40.827642,-73.904473,394,Medium Performance
86,Frederick Douglass Academy III Secondary School,Bronx,X148,387,386,386,50.5,frederick douglass academy iii secondary school,40.833511,-73.90449,386,Low Performance
87,Urban Assembly School for Applied Math and Science,Bronx,X970,445,418,422,87.8,urban assembly school for applied math and science,40.839244,-73.901316,428,Medium Performance
88,Bronx Collegiate Academy,Bronx,X410,395,401,382,45.5,bronx collegiate academy,40.840422,-73.91091,393,Medium Performance
89,Mott Hall Bronx High School,Bronx,X970,417,399,398,46.2,mott hall bronx high school,40.839244,-73.901316,405,Medium Performance
90,Bronx Leadership Academy High School,Bronx,X876,375,372,374,49.1,bronx leadership academy high school,40.843588,-73.903236,374,Low Performance
91,Bronx High School for Medical Science,Bronx,X410,431,421,426,83.9,bronx high school for medical science,40.840422,-73.91091,426,Medium Performance
92,Eagle Academy for Young Men,Bronx,X465,398,410,397,65.7,eagle academy for young men,40.844958,-73.89705,402,Medium Performance
93,Bronx High School of Business,Bronx,X410,365,360,346,33.3,bronx high school of business,40.840422,-73.91091,357,Low Performance
94,DreamYard Preparatory School,Bronx,X410,385,385,388,51.1,dreamyard preparatory school,40.840422,-73.91091,386,Low Performance
95,Theatre Arts Production Company School,Bronx,X137,402,421,410,77.7,theatre arts production company school,40.854493,-73.896717,411,Medium Performance
96,Bronx High School for Law and Community Service,Bronx,X435,401,402,386,64.8,bronx high school for law and community service,40.860043,-73.888267,396,Medium Performance
97,Belmont Preparatory High School,Bronx,X435,413,408,402,55.3,belmont preparatory high school,40.860043,-73.888267,408,Medium Performance
98,Fordham High School for the Arts,Bronx,X435,398,404,412,56.2,fordham high school for the arts,40.860043,-73.888267,405,Medium Performance
99,Holcombe L. Rucker School of Community Research,Bronx,X039,376,372,369,59.0,holcombe l. rucker school of community research,40.817512,-73.898212,372,Low Performance
100,Banana Kelly High School,Bronx,X039,378,391,378,25.7,banana kelly high school,40.817512,-73.898212,382,Low Performance
101,Bronx Studio School for Writers and Artists,Bronx,X392,417,412,403,71.6,bronx studio school for writers and artists,40.820579,-73.893128,411,Medium Performance
102,Peace and Diversity Academy,Bronx,X099,366,362,365,27.1,peace and diversity academy,40.827315,-73.897612,364,Low Performance
103,East Bronx Academy for the Future,Bronx,X973,418,406,408,41.1,east bronx academy for the future,40.836356,-73.888361,411,Medium Performance
104,Bronx Envision Academy,Bronx,X098,364,385,366,76.5,bronx envision academy,40.8359,-73.890458,372,Low Performance
105,Fannie Lou Hamer Freedom High School,Bronx,X878,345,347,339,75.0,fannie lou hamer freedom high school,40.83087,-73.88626,344,Low Performance
106,Explorations Academy,Bronx,X098,377,372,365,43.0,explorations academy,40.8359,-73.890458,371,Low Performance
107,Urban Assembly School for Wildlife Conservation,Bronx,X067,393,397,379,71.1,urban assembly school for wildlife conservation,40.843945,-73.884788,390,Low Performance
108,Wings Academy,Bronx,X879,379,372,373,49.2,wings academy,40.841794,-73.875366,375,Low Performance
109,Herbert H. Lehman High School,Bronx,X405,426,419,407,28.9,herbert h. lehman high school,40.840702,-73.838545,417,Medium Performance
110,Bronx School of Law and Finance,Bronx,X475,384,394,366,48.3,bronx school of law and finance,40.877105,-73.912256,381,Low Performance
111,Bronx Engineering and Technology Academy,Bronx,X475,394,406,391,59.6,bronx engineering and technology academy,40.877105,-73.912256,397,Medium Performance
112,Bronx Theatre High School,Bronx,X475,382,384,390,66.7,bronx theatre high school,40.877105,-73.912256,385,Low Performance
113,Marble Hill High School for International Studies,Bronx,X475,451,417,423,92.9,marble hill high school for international studies,40.877105,-73.912256,430,Medium Performance
114,New World High School,Bronx,X362,407,363,358,93.0,new world high school,40.887831,-73.852694,376,Low Performance
115,High School for Contemporary Arts,Bronx,X425,367,381,361,41.0,high school for contemporary arts,40.875953,-73.86197,370,Low Performance
116,Bronx Aerospace High School,Bronx,X425,403,410,393,50.5,bronx aerospace high school,40.875953,-73.86197,402,Medium Performance
117,Bronx Academy of Health Careers,Bronx,X425,386,380,391,59.4,bronx academy of health careers,40.875953,-73.86197,386,Low Performance
118,High School of Computers and Technology,Bronx,X425,396,399,377,65.6,high school of computers and technology,40.875953,-73.86197,391,Low Performance
119,Bronx Lab School,Bronx,X425,407,416,401,77.4,bronx lab school,40.875953,-73.86197,408,Medium Performance
120,High School for Teaching and the Professions,Bronx,X430,372,361,369,46.5,high school for teaching and the professions,40.870293,-73.898309,367,Low Performance
121,Bronx High School of Science,Bronx,X445,714,660,667,97.0,bronx high school of science,40.87759,-73.89104,680,High Performance
122,Discovery High School,Bronx,X430,432,396,395,39.9,discovery high school,40.870293,-73.898309,408,Medium Performance
123,High School of American Studies at Lehman College,Bronx,X905,669,672,672,91.8,high school of american studies at lehman college,40.873938,-73.895382,671,High Performance
124,DeWitt Clinton High School,Bronx,X440,445,436,433,31.8,dewitt clinton high school,40.882178,-73.88691,438,High Performance
125,International School for Liberal Arts,Bronx,X430,390,387,379,19.2,international school for liberal arts,40.870293,-73.898309,385,Low Performance
126,Astor Collegiate Academy,Bronx,X415,422,417,409,57.9,astor collegiate academy,40.859665,-73.861006,416,Medium Performance
127,Pelham Preparatory Academy,Bronx,X415,420,433,425,77.0,pelham preparatory academy,40.859665,-73.861006,426,Medium Performance
128,High School of Language and Innovation,Bronx,X415,356,340,320,72.7,high school of language and innovation,40.859665,-73.861006,339,Low Performance
129,Collegiate Institute for Math and Science,Bronx,X415,488,461,458,79.8,collegiate institute for math and science,40.859665,-73.861006,469,High Performance
130,Bronxdale High School,Bronx,X415,418,432,436,72.5,bronxdale high school,40.859665,-73.861006,429,Medium Performance
131,Pan American International High School at Monroe,Bronx,X420,317,315,292,65.6,pan american international high school at monroe,40.831601,-73.878912,308,Low Performance
132,Mott Hall V,Bronx,X423,430,422,414,77.5,mott hall v,40.831416,-73.877785,422,Medium Performance
133,High School of World Cultures,Bronx,X420,356,359,347,38.2,high school of world cultures,40.831601,-73.878912,354,Low Performance
134,Millennium Art Academy,Bronx,X450,396,413,395,39.2,millennium art academy,40.82229,-73.856167,401,Medium Performance
135,Bronx Guild,Bronx,X450,365,393,357,41.3,bronx guild,40.82229,-73.856167,372,Low Performance
136,Pablo Neruda Academy,Bronx,X450,394,384,383,44.2,pablo neruda academy,40.82229,-73.856167,387,Low Performance
137,Women's Academy of Excellence,Bronx,X174,386,390,389,45.2,women's academy of excellence,40.814833,-73.85658,388,Low Performance
138,Bronx Health Sciences High School,Bronx,X455,407,421,427,87.1,bronx health sciences high school,40.874091,-73.833904,418,Medium Performance
139,Queens Vocational and Technical High School,Queens,Q600,467,436,432,53.4,queens vocational and technical high school,40.742205,-73.928219,445,High Performance
140,High School of Applied Communication,Queens,Q735,435,437,441,70.9,high school of applied communication,40.745095,-73.936635,438,High Performance
141,Academy for Careers in Television and Film,Queens,Q404,444,458,444,95.0,academy for careers in television and film,40.742956,-73.959196,449,High Performance
142,Academy of American Studies,Queens,Q451,495,482,479,84.8,academy of american studies,40.751331,-73.937434,485,High Performance
143,Newcomers High School,Queens,Q450,490,374,381,47.1,newcomers high school,40.751356,-73.937445,415,Medium Performance
144,Bard High School Early College Queens,Queens,Q735,631,598,610,94.1,bard high school early college queens,40.745095,-73.936635,613,High Performance
145,Information Technology High School,Queens,Q725,443,420,411,58.8,information technology high school,40.748701,-73.94638,425,Medium Performance
146,William Cullen Bryant High School,Queens,Q445,466,424,426,56.9,william cullen bryant high school,40.75823,-73.910514,439,High Performance
147,Long Island City High School,Queens,Q452,430,423,412,51.6,long island city high school,40.765826,-73.9328,422,Medium Performance
148,Frank Sinatra School of the Arts High School,Queens,Q570,536,543,543,89.5,frank sinatra school of the arts high school,40.756534,-73.925121,541,High Performance
149,Baccalaureate School for Global Education,Queens,Q798,633,620,628,98.5,baccalaureate school for global education,40.755366,-73.927169,627,High Performance
150,Brooklyn International High School,Brooklyn,K805,432,334,333,92.7,brooklyn international high school,40.697339,-73.985016,366,Low Performance
151,School for International Studies,Brooklyn,K293,417,406,394,65.1,school for international studies,40.685419,-73.993351,406,Medium Performance
152,Brooklyn School for Global Studies,Brooklyn,K293,393,381,402,61.8,brooklyn school for global studies,40.685419,-73.993351,392,Low Performance
