ID,school_name,borough,building_code,average_math,average_reading,average_writing,percent_tested,lat,long
73,Health Opportunities High School,Bronx,X884,374,386,382,57.9,40.815938,-73.930386
74,Community School for Social Justice,Bronx,X884,380,382,362,38.4,40.815938,-73.930386
75,Academy for Language and Technology,Bronx,X082,371,334,348,78.9,40.849623,-73.91607
76,International Community High School,Bronx,X139,345,338,312,58.2,40.81004,-73.917792
77,Hostos-Lincoln Academy of Science,Bronx,X162,463,451,435,80.0,40.815498,-73.91224
78,University Heights Secondary School,Bronx,X470,420,446,424,87.8,40.81825,-73.91103
79,Mott Haven Village Preparatory High School,Bronx,X470,377,373,369,44.9,40.81825,-73.91103
80,High School for Violin and Dance,Bronx,X400,363,401,396,31.3,40.827642,-73.904473
81,Bronx Career and College Preparatory High School,Bronx,X158,370,379,381,40.7,40.827743,-73.900105
82,Bronx Center for Science and Mathematics,Bronx,X002,513,468,485,73.9,40.833665,-73.902499
83,Bronx Latin,Bronx,X158,394,381,363,81.0,40.827743,-73.900105
84,School for Excellence,Bronx,X400,377,385,383,38.4,40.827642,-73.904473
85,Morris Academy for Collaborative Studies,Bronx,X400,407,389,386,44.8,40.827642,-73.904473
86,Frederick Douglass Academy III Secondary School,Bronx,X148,387,386,386,50.5,40.833511,-73.90449
87,Urban Assembly School for Applied Math and Science,Bronx,X970,445,418,422,87.8,40.839244,-73.901316
88,Bronx Collegiate Academy,Bronx,X410,395,401,382,45.5,40.840422,-73.91091
89,Mott Hall Bronx High School,Bronx,X970,417,399,398,46.2,40.839244,-73.901316
90,Bronx Leadership Academy High School,Bronx,X876,375,372,374,49.1,40.843588,-73.903236
91,Bronx High School for Medical Science,Bronx,X410,431,421,426,83.9,40.840422,-73.91091
92,Eagle Academy for Young Men,Bronx,X465,398,410,397,65.7,40.844958,-73.89705
93,Bronx High School of Business,Bronx,X410,365,360,346,33.3,40.840422,-73.91091
94,DreamYard Preparatory School,Bronx,X410,385,385,388,51.1,40.840422,-73.91091
95,Theatre Arts Production Company School,Bronx,X137,402,421,410,77.7,40.854493,-73.896717
96,Bronx High School for Law and Community Service,Bronx,X435,401,402,386,64.8,40.860043,-73.888267
97,Belmont Preparatory High School,Bronx,X435,413,408,402,55.3,40.860043,-73.888267
98,Fordham High School for the Arts,Bronx,X435,398,404,412,56.2,40.860043,-73.888267
99,Holcombe L. Rucker School of Community Research,Bronx,X039,376,372,369,59.0,40.817512,-73.898212
100,Banana Kelly High School,Bronx,X039,378,391,378,25.7,40.817512,-73.898212
101,Bronx Studio School for Writers and Artists,Bronx,X392,417,412,403,71.6,40.820579,-73.893128
102,Peace and Diversity Academy,Bronx,X099,366,362,365,27.1,40.827315,-73.897612
103,East Bronx Academy for the Future,Bronx,X973,418,406,408,41.1,40.836356,-73.888361
104,Bronx Envision Academy,Bronx,X098,364,385,366,76.5,40.8359,-73.890458
105,Fannie Lou Hamer Freedom High School,Bronx,X878,345,347,339,75.0,40.83087,-73.88626
106,Explorations Academy,Bronx,X098,377,372,365,43.0,40.8359,-73.890458
107,Urban Assembly School for Wildlife Conservation,Bronx,X067,393,397,379,71.1,40.843945,-73.884788
108,Wings Academy,Bronx,X879,379,372,373,49.2,40.841794,-73.875366
109,Herbert H. Lehman High School,Bronx,X405,426,419,407,28.9,40.840702,-73.838545
110,Bronx School of Law and Finance,Bronx,X475,384,394,366,48.3,40.877105,-73.912256
111,Bronx Engineering and Technology Academy,Bronx,X475,394,406,391,59.6,40.877105,-73.912256
112,Bronx Theatre High School,Bronx,X475,382,384,390,66.7,40.877105,-73.912256
113,Marble Hill High School for International Studies,Bronx,X475,451,417,423,92.9,40.877105,-73.912256
114,New World High School,Bronx,X362,407,363,358,93.0,40.887831,-73.852694
115,High School for Contemporary Arts,Bronx,X425,367,381,361,41.0,40.875953,-73.86197
116,Bronx Aerospace High School,Bronx,X425,403,410,393,50.5,40.875953,-73.86197
117,Bronx Academy of Health Careers,Bronx,X425,386,380,391,59.4,40.875953,-73.86197
118,High School of Computers and Technology,Bronx,X425,396,399,377,65.6,40.875953,-73.86197
119,Bronx Lab School,Bronx,X425,407,416,401,77.4,40.875953,-73.86197
120,High School for Teaching and the Professions,Bronx,X430,372,361,369,46.5,40.870293,-73.898309
121,Bronx High School of Science,Bronx,X445,714,660,667,97.0,40.87759,-73.89104
122,Discovery High School,Bronx,X430,432,396,395,39.9,40.870293,-73.898309
123,High School of American Studies at Lehman College,Bronx,X905,669,672,672,91.8,40.873938,-73.895382
124,DeWitt Clinton High School,Bronx,X440,445,436,433,31.8,40.882178,-73.88691
