school,lat,long
Pelham Preparatory Academy,40.859665,-73.861006
High School of Language and Innovation,40.859665,-73.861006
Bronxdale High School,40.859665,-73.861006
C Columbus Hs Yabc,40.859665,-73.861006
Astor Collegiate Academy,40.859665,-73.861006
Collegiate Institute for Math and Science,40.859665,-73.861006
240 EAST 172 STREET CONSOLIDATED LOCATION,40.840422,-73.91091
Claremont International HS,40.840422,-73.91091
Jonathan Levin High School for Media and Communica,40.840422,-73.91091
Bronx High School for Medical Science,40.840422,-73.91091
Bronx High School of Business,40.840422,-73.91091
Mott Haven Village Preparatory High School,40.81825,-73.91103
New Directions Secondary School,40.840422,-73.91091
DreamYard Preparatory School,40.840422,-73.91091
Bronx Collegiate Academy,40.840422,-73.91091
3000 EAST TREMONT AVENUE CONSOLIDATED LOCATION,40.840702,-73.838545
Westchester Square Academy,40.840702,-73.838545
Herbert H. Lehman Yabc,40.840702,-73.838545
Herbert H. Lehman High School,40.840702,-73.838545
Bronx River High School,40.840702,-73.838545
Schuylerville Preparatory High School,40.840702,-73.838545
Pelham Lab High School,40.840702,-73.838545
Renaissance High School for Musical Theater & Tech,40.840702,-73.838545
701 ST. ANNS AVENUE CONSOLIDATED LOCATION,40.81825,-73.91103
1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,40.823532,-73.898872
ROADS Charter School II,40.823532,-73.898872
Bronx Regional High School,40.823532,-73.898872
Arturo A. Schomburg Satellite Academy Bronx,40.823532,-73.898872
1110 BOSTON ROAD CONSOLIDATED LOCATION,40.827642,-73.904473
High School for Violin and Dance,40.827642,-73.904473
School for Excellence,40.827642,-73.904473
Bronx International High School,40.827642,-73.904473
Morris Academy for Collaborative Studies,40.827642,-73.904473
Bronx Studio School for Writers and Artists,40.820579,-73.893128
In-Tech Academy (M.S. / High School 368),40.879368,-73.909896
921 EAST 228TH STREET CONSOLIDATED LOCATION,40.887831,-73.852694
The Bronxwood Preparatory Academy,40.887831,-73.852694
New World High School,40.887831,-73.852694
Academy for Scholarship and Entrepreneurship: A Co,40.887831,-73.852694
P.S. 360,40.874411,-73.902573
P.S. 340,40.869007,-73.89749
40 WEST TREMONT AVENUE CONSOLIDATED LOCATION,40.851823,-73.91118
The Bronx School of Young Leaders,40.851823,-73.91118
P.S. 306,40.851823,-73.91118
Young Voices Academy of the Bronx,40.854415,-73.863732
The Highbridge Green School,40.838224,-73.927891
Jonas Bronck Academy,40.861668,-73.891337
"P.S. 279 Captain Manuel Rivera, Jr.",40.854432,-73.905566
I.S. 254,40.858815,-73.890232
1501 JEROME AVENUE CONSOLIDATED LOCATION,40.842495,-73.916082
Mount Eden Children's Academy,40.842495,-73.916082
Comprehensive Model School Project M.S. 327,40.842495,-73.916082
The School of Science and Applied Learning,40.846236,-73.887405
275 HARLEM RIVER PARK BRIDGE CONSOLIDATED LOCATION,40.852536,-73.921467
The New American Academy at Roberto Clemente State,40.852536,-73.921467
Eagle Academy for Young Men,40.844958,-73.89705
P.S. 230 Dr Roland N. Patterson,40.852536,-73.921467
I.S. 229 Roland Patterson,40.852536,-73.921467
Providing Urban Learners Success In Education High,40.8486,-73.893654
P.S. 209,40.856723,-73.897885
I.S. 206 Ann Mersereau,40.859686,-73.906495
P.S. 205 Fiorello Laguardia,40.855263,-73.881139
1180 TINTON AVENUE CONSOLIDATED LOCATION,40.828419,-73.900721
Urban Scholars Community School,40.828419,-73.900721
P.S. 212,40.828419,-73.900721
PS/MS 194,40.834782,-73.846632
1919 PROSPECT AVENUE CONSOLIDATED LOCATION,40.843546,-73.889755
Childrenâs Aid College Prep Charter School,40.843546,-73.889755
"I.S. X318 Math, Science & Technology Through Arts",40.843546,-73.889755
P.S. 211,40.843546,-73.889755
650 HOLLYWOOD AVENUE CONSOLIDATED LOCATION,40.826526,-73.818417
Mott Hall Community School,40.826526,-73.818417
Bronx Delta School,40.826526,-73.818417
Urban Institute of Mathematics,40.826526,-73.818417
Urban Assembly Academy of Civic Engagement,40.826526,-73.818417
3441 STEENWICK AVENUE CONSOLIDATED LOCATION,40.883025,-73.830366
Cornerstone Academy for Social Action Middle Schoo,40.883025,-73.830366
Cornerstone Academy for Social Action,40.883025,-73.830366
778 FOREST AVENUE CONSOLIDATED LOCATION,40.818874,-73.905927
P.S. X017,40.818874,-73.905927
Jill Chaifetz Transfer High School,40.818874,-73.905927
Academy of Public Relations,40.818874,-73.905927
South Bronx Academy for Applied Media,40.818874,-73.905927
339 MORRIS AVENUE CONSOLIDATED LOCATION,40.813641,-73.925313
P.S. 168,40.813641,-73.925313
The Urban Assembly Bronx Academy of Letters,40.813641,-73.925313
M.S. 203,40.813641,-73.925313
"Bronx School for Law, Government and Justice",40.827607,-73.918681
P.S. 182,40.818228,-73.856302
I.S. 181 Pablo Casals,40.87529,-73.833912
M.S. 180 Dr. Daniel Hale Williams,40.87302,-73.833776
850 BAYCHESTER AVENUE CONSOLIDATED LOCATION,40.875894,-73.833863
P.S. X176,40.875894,-73.833863
P.S. 178 - Dr. Selman Waksman,40.875894,-73.833863
3177 WEBSTER AVENUE CONSOLIDATED LOCATION,40.872551,-73.875374
P469X - The Bronx School for Continuous Learners,40.872551,-73.875374
Bedford Park Elementary School,40.872551,-73.875374
P.S. 056 Norwood Heights,40.872551,-73.875374
456 WHITE PLAINS ROAD CONSOLIDATED LOCATION,40.814833,-73.85658
The Bronx Mathematics Preparatory School,40.814833,-73.85658
"Archimedes Academy for Math, Science and Technolog",40.814833,-73.85658
Women's Academy of Excellence,40.814833,-73.85658
P.S. 236 Langston Hughes,40.848899,-73.909528
P.S. 170,40.844316,-73.913604
1970 WEST FARMS ROAD CONSOLIDATED LOCATION,40.839565,-73.880358
Emolior Academy,40.839565,-73.880358
